학교명,지역,도로명주소
서울농학교,종로구,서울특별시 종로구 필운대로 103
한국우진학교,마포구,서울특별시 마포구 월드컵북로38길 21
서울맹학교,종로구,서울특별시 종로구 필운대로 97
광성하늘빛학교,송파구,서울특별시 송파구 올림픽로 625
누리학교,동작구,서울특별시 동작구 상도로 53
교남학교,강서구,서울특별시 강서구 까치산로22길 38
다니엘학교,서초구,서울특별시 서초구 헌릉로468길 21-16
밀알학교,강남구,서울특별시 강남구 일원로 90
서울새롬학교,관악구,서울특별시 관악구 보라매로 44
서울광진학교,광진구,서울특별시 광진구 강변역로 18
서울동천학교,노원구,서울특별시 노원구 노원로18길 41
서울삼성학교,동작구,서울특별시 동작구 양녕로30길 19-4
서울애화학교,강북구,서울특별시 강북구 솔매로52길 31
서울정문학교,관악구,서울특별시 관악구 난향3길 31
서울정민학교,노원구,서울특별시 노원구 공릉로58길 24
서울정인학교,강북구,서울특별시 강북구 인수봉로 119-20
서울정진학교,구로구,서울특별시 구로구 부일로9길 158
성베드로학교,구로구,서울특별시 구로구 연동로 320
수도사랑의학교,종로구,서울특별시 종로구 사직로7길 17
연세대학교재활학교,서대문구,서울특별시 서대문구 연세로 50
서울정애학교,강남구,서울특별시 강남구 봉은사로81길 16
주몽학교,강동구,서울특별시 강동구 상암로 369
한국구화학교,강동구,서울특별시 강동구 고덕로 295-59
한국육영학교,송파구,서울특별시 송파구 충민로6길 15
한빛맹학교,강북구,서울특별시 강북구 삼양로73가길 47
은평대영학교,은평구,서울특별시 은평구 갈현로11길 30
서울경운학교,종로구,서울특별시 종로구 삼일대로 454
서울다원학교,성북구,서울특별시 성북구 성북로31길 5-15
서울효정학교,강북구,서울특별시 강북구 삼양로63길 33
서울나래학교,서초구,서울특별시 서초구 염곡안1길 25
서울서진학교,강서구,서울특별시 강서구 양천로55길 22
서울도솔학교,도봉구,서울특별시 도봉구 평화로15번길 9-26
금천구중심,금천구,서울특별시 금천구 시흥대로73길 70
양천구중심,양천구,서울특별시 양천구 목동동로 105
영등포구중심,영등포구,서울특별시 영등포구 당산로 123
용산구중심,용산구,서울특별시 용산구 녹사평대로 150
중구중심,중구,서울특별시 중구 창경궁로 17
성동구중심,성동구,서울특별시 성동구 고산자로 270
동대문구중심,동대문구,서울특별시 동대문구 천호대로 145
중랑구중심,중랑구,서울특별시 중랑구 봉화산로 179