학교명,도로명상세주소
면목중학교,"/ 면목중학교 (면목동)"
동원중학교,"(망우동/ 동원중학교)"
동대문중학교,"/ 동대문중학교 (전농동)"
동국대학교사범대학부속중학교,(장안동)
대광중학교,(신설동)
경희중학교,"/ 경희중학교 (회기동)"
경희여자중학교,(회기동)
은석초등학교,"(장안동/ 은석초등학교)"
서울휘봉초등학교,(휘경동/서울휘봉초등학교)
서울휘경초등학교,"(휘경동/ 서울휘경초등학교)"
서울홍파초등학교,(제기동)
서울홍릉초등학교,(청량리동)
서울청량초등학교,(회기동/서울청량초등학교)
서울중흥초등학교,"/ 서울중흥초등학교 (중화동)"
서울중화초등학교,"/ 서울중화초등학교 (신내동)"
서울중목초등학교,"/ 서울중목초등학교 (면목동)"
서울중랑초등학교,(면목동/중랑초등학교)
서울중곡초등학교,(면목동/중곡초등학교)
서울종암초등학교,(제기동)
서울전동초등학교,"/ 서울전동초등학교 (전농동)"
서울전농초등학교,"/ 서울전농초등학교 (전농동)"
서울전곡초등학교,(전농동)
서울장평초등학교,", 69길 27 (전농동)"
서울이문초등학교,"(이문동/ 서울이문초등학교)"
서울원묵초등학교,"/ 서울원묵초등학교 (묵동)"
서울용두초등학교,(용두동)
서울안평초등학교,"/ 서울안평초등학교 (장안동)"
서울신현초등학교,(신내동)
서울신묵초등학교,(묵동/신묵초등학교)
서울신답초등학교,(답십리동/서울신답초등학교)
서울신내초등학교,(신내동/신내초등학교)
서울상봉초등학교,"/ 서울상봉초등학교 (상봉동)"
서울봉화초등학교,(신내동/봉화초등학교)
서울배봉초등학교,"/ 배봉초등학교 (전농동)"
서울묵현초등학교,"/ 묵현초등학교"
서울묵동초등학교,"/ 서울묵동초등학교 (중화동)"
서울면중초등학교,", 서울면중초등학교 (면목동)"
서울면일초등학교,"/ 면일초등학교 (망우동)"
서울면북초등학교,"/ 서울면북초등학교 (망우동)"
서울면목초등학교,(면목동)
서울면동초등학교,"(면목동/ 면동초등학교)"
서울면남초등학교,(면목동/면남초등학교)
서울망우초등학교,"/ 서울망우초등학교 (망우동)"
서울동원초등학교,"/ 서울동원초등학교 (망우동)"
서울동답초등학교,(답십리동/서울동답초등학교)
서울답십리초등학교,"/ 서울답십리초등학교 (답십리동)"
서울군자초등학교,"/ 서울군자초등학교 (장안동)"
금성초등학교,"/ 금성초등학교 (신내동)"
경희초등학교,"/ 경희초등학교 (회기동/ 경희대학교)"
미림마이스터고등학교,미림마이스터고등학교
염광메디텍고등학교,", 염광메디텍고등학교 (월계동)"
서울웹툰애니메이션고등학교,(방배동)
솔샘고등학교,"/ 솔샘고등학교"
서울동구고등학교,"/ 동구마케팅고등학교 (성북동)"
서울정화고등학교,(제기동)정화여자상업고등학교
선일빅데이터고등학교,"/ 선일빅데이터고등학교 (갈현동)"
대경생활과학고등학교,(신당동)
서울매그넷고등학교,"(시흥동/ 동일여자상업고등학교)"
광운인공지능고등학교,(월계동/광운중학교/전자공업고등학교)
서울인공지능고등학교,(거여동)
용산철도고등학교,"(한강로3가/ 용산철도고등학교)"
서울동산고등학교,(공릉동)
인덕과학기술고등학교,"/ 인덕과학기술고등학교 (월계동/ 인덕대학교/인덕공업고등학교)"
서울신정고등학교,"(화곡동/ 서울신정고등학교)"
서일문화예술고등학교,(창신동)
동명생활경영고등학교,(대조동)
단국대학교부속소프트웨어고등학교,"(대치동 1013)"
광신방송예술고등학교,"(신림동/ 광신방송예술고등학교)"
고명외식고등학교,(돈암동)
서울의료보건고등학교,(만리동1가)
서울서진학교,(가양동)
서울도솔학교,"(도봉동/ 서울도솔학교)"
서울나래학교,"(염곡동/ 서울나래학교)"
영락의료과학고등학교,"(봉천동/ 서울영락고등학교/ 영락의료과학고등학교)"
덜위치칼리지서울영국학교,(반포동)
서울새롬학교,"/ 서울새롬학교 (봉천동/ 삼육외래센터)"
서울효정학교,(미아동)
풍문고등학교,(자곡동)
서울다솜관광고등학교,(숭인동)
금호고등학교,(금호동1가)
도선고등학교,(하왕십리동)
금천문화예술정보학교,"/ 금천문화예술정보학교 (독산동)"
신진과학기술고등학교,(응암동/학교법인신진학원)
선정국제관광고등학교,"/ 선정국제관광고등학교 (갈현동)"
계성고등학교,"/ 계성고등학교 (길음동)"
서울항공비즈니스고등학교,(방화동)
오디세이학교,(숭인동)
서울다원학교,"/ 서울다원학교 (성북동)"
누리학교,"/ 누리학교 (대방동)"
서울실용음악고등학교,(신당동/서울실용음악고등학교)
서울컨벤션고등학교,"/ 서울컨벤션고등학교 (고덕동)"
서초문화예술정보학교,(서초동)
은평문화예술정보학교,"/ 은평문화예술정보학교 (응암동/ 은평문화예술정보학교)"
서울드와이트외국인학교,(상암동)
대일관광고등학교,"/ 대일관광고등학교 (신정동/ 대일관광고등학교)"
예림디자인고등학교,(궁동/예림디자인고등학교)
서울도시과학기술고등학교,(하월곡동/서울도시과학기술고등학교)
성덕고등학교,(천호동)
가재울고등학교,(북가좌동)
"학력인정 청량정보고등학교(2년제)","(전농동/ 청량정보고등학교)"
"학력인정 한림연예예술고등학교","(장지동/ 한림연예예술고교)"
"학력인정 한림실업고등학교(2년제)","(장지동/ 한림연예예술고교)"
"학력인정 한림중학교(2년제)",(장지동)
"학력인정 한림초등학교(4년제)","(장지동/ 한석교통(주))"
"학력인정 청암중학교(2년제)","(중계동/ 청암중고예술학교)"
"학력인정 청암고등학교(2년제)",(중계동/청암중고등학교)
"학력인정 진형중학교(2년제)","(숭인동/ 진형빌딩)"
"학력인정 진형고등학교(2년제)","(숭인동/ 진형빌딩)"
"학력인정 일성여자중학교(2년제)","(염리동/ 일성여자중고등학교)"
"학력인정 일성여자고등학교(2년제)","(염리동/ 일성여자중고등학교)"
"학력인정 신동신중학교(2년제)","(사당동/ 신동신중 정보산업 고등학교)"
"학력인정 신동신정보산업고등학교(2년제)","(사당동/ 신동신중 정보산업 고등학교)"
"학력인정 청량정보고등학교","(전농동/ 청량정보고등학교)"
"학력인정 정암미용고등학교(2년제)","(청량리동/ 미주상가)"
"학력인정 서울자동차고등학교","(효창동/ 서울자동차고등학교)"
"학력인정 신동신중.정보산업고등학교","(사당동/ 신동신중 정보산업 고등학교)"
휘봉고등학교,(휘경동)
잠일고등학교,(잠실동)
구암고등학교,(봉천동/구암고등학교)
서울대학교사범대학부설고등학교,(종암동)
꿈타래학교,(신림동/서울산업정보학교)
화곡보건경영고등학교,"(내발산동/ 화곡보건경영고등학교)"
영신간호비즈니스고등학교,"/ 영신간호비즈니스고등학교 (중계동)"
홍익디자인고등학교,(연남동)
송곡관광고등학교,(망우동)
세그루패션디자인고등학교,"/ 세그루패션디자인고등학교 (쌍문동)"
삼각산고등학교,(미아동/삼각산고등학교)
선사고등학교,"/ 선사고등학교 (암사동)"
신도고등학교,(진관동)
여명학교,"/ 여명학교 (남산동2가)"
동양고등학교,(가양동/동양고등학교)
서울금융고등학교,"/ 서울금융고등학교 (신월동)"
은평메디텍고등학교,(진관동/은평메디텍고등학교)
서울아이티고등학교,(중계동/서울아이티고등학교)
문현고등학교,(장지동)
강일고등학교,(강일동)
하나고등학교,"/ 하나고등학교 (진관동)"
압구정고등학교,"/ 압구정고등학교 (압구정동)"
상일미디어고등학교,"/ 상일미디어고등학교 (상일동)"
한세사이버보안고등학교,(아현동)
리라아트고등학교,"/ 24 (예장동/리라아트고등학교)"
서울공연예술고등학교,"/ 서울공연예술고등학교 (궁동)"
성동글로벌경영고등학교,"(신당동/ 성동글로벌경영고등학교)"
서울문화고등학교,"/ 서울문화고등학교 (방학동)"
성수고등학교,"/ 성수고등학교 (성수동1가)"
수명고등학교,"/ 수명고등학교 (내발산동)"
신도림고등학교,(신도림동/신도림고등학교)
진관고등학교,(진관동)
은평고등학교,"(구산동/ 은평고등학교)"
연세대학교재활학교,"/ 연세대학교재활학교 (신촌동)"
수도사랑의학교,"/ 수도사랑의학교 (사직동)"
코리아외국인학교,(양재동)
아시아퍼시픽국제외국인학교,(월계동)
하비에르국제학교,(구기동)
재한몽골학교,(광장동)
한국한성화교소학교,(명동2가)
한국켄트외국인학교,(구의동)
한국외국인학교,(개포동)
한국영등포화교소학교,(문래동1가)
지구촌기독외국인학교,(한남동)
서울프랑스학교,(반포동)
서울일본인학교,"/ 일본인학교 (상암동)"
서울독일학교,(한남동)
서울용산국제학교,(한남동)
한국한성화교중고등학교,(연희동)
성암국제무역고등학교,"(미아동/ 성암국제무역고등학교)"
서울방송고등학교,(옥수동)
경복비즈니스고등학교,(등촌동)
대동세무고등학교,(계동)
한강미디어고등학교,(양평동4가/한강미디어고등학교)
구현고등학교,(구로동)
해성여자고등학교,(전농동/해성여자고등학교)
서울국제고등학교,"/ 서울국제고 (명륜1가)"
세종과학고등학교,(궁동)
청암예술학교,(중계동/청암고등기술학교)
보인고등학교,"/ 보인고등학교 (오금동)"
해성국제컨벤션고등학교,"/ 해성국제컨벤션고등학교 (전농동)"
예일디자인고등학교,"/ 예일디자인고등학교 (구산동)"
덕수고등학교,(행당동)
상암고등학교,(상암동)
원묵고등학교,"/ 원묵고등학교 (묵동)"
서울외국인학교,(연희동)
고려대학교사범대학부속고등학교,"/ 고려대학교사범대학부속고등학교 (정릉동)"
서울영상고등학교,"/ 서울영상고등학교 (신정동)"
한양대학교사범대학부속고등학교,(사근동)
효문고등학교,"(쌍문동/효문중 고등학교)"
신서고등학교,"/ 신서고등학교 (신정동)"
세현고등학교,"/ 세현고등학교 (가양동)"
이화여자대학교병설미디어고등학교,"/ 02061 (망우동)"
동국대학교사범대학부속여자고등학교,"/ 동국대부속여고 (구의동)"
목동고등학교,"/ 목동고등학교 (신정동)"
서울디자인고등학교,"/ 서울디자인고등학교 (염리동)"
대진디자인고등학교,(수서동/대진디자인고등학교)
서울관광고등학교,(봉천동/서울관광고등학교)
서울로봇고등학교,"/ 서울로봇고등학교 (일원동)"
성동공업고등학교,(흥인동)
불암고등학교,(중계동)
월계고등학교,(월계동/월계고등학교)
선유고등학교,"/ 선유고등학교 (양평동4가)"
한국제과학교,(신길동)
서서울생활과학고등학교,"/ 서서울생활과학고등학교 (궁동)"
영동일고등학교,"/ 영동일고등학교 (잠실동)"
자운고등학교,(창동)
신현고등학교,"/ 신현고등학교 (상봉동)"
문정고등학교,(문정동/문정고등학교)
등촌고등학교,"/ 등촌고등학교 (등촌동)"
경일고등학교,"/ 경일고등학교 (성수동1가)"
서울문영여자고등학교,"/ 서울문영여자고등학교 (봉천동)"
염광고등학교,(월계동)
상명고등학교,(중계동)
미래산업과학고등학교,(중계동)
방산고등학교,(방이동)
누원고등학교,"/ 누원고등학교 (도봉동)"
은평대영학교,"/ 은평대영학교 (구산동/ 사회복지법인 엔젤스헤이븐)"
서울동천학교,"/ 서울동천학교 (하계동)"
한빛맹학교,"/ 한빛맹학교 (수유동)"
교남학교,"/ 교남학교 (화곡동)"
서울디지텍고등학교,(이태원동)
종로산업정보학교,"(숭인동, 종로산업정보학교)"
아현산업정보학교,"(아현동/ 아현산업정보학교/ 아현직업학교)"
서울산업정보학교,"/ 서울산업정보학교 (신림동)"
노원고등학교,(상계동)
경인고등학교,"/ 경인고등학교 (고척동)"
창동고등학교,"(창동/ 창동고등학교)"
서울경운학교,(경운동)
독산고등학교,"/ 독산고등학교 (독산동)"
수락고등학교,(상계동/수락고등학교)
청원여자고등학교,"/ 청원여자고등학교 (상계동/청원초/중/고등학교)"
이화여자대학교사범대학부속이화금란고등학교,"/ 이대부속고등학교 (대신동)"
오류고등학교,"(궁동/ 오류고등학교)"
세명컴퓨터고등학교,"/ 세명컴퓨터고등학교 (불광동)"
선린인터넷고등학교,(청파동3가)
서울정민학교,"(하계동/ 서울정민학교)"
광성하늘빛학교,"/ 광성하늘빛학교 (풍납동/광성교회)"
서울정인학교,"(수유동/ 정인학교)"
서울정애학교,"/ 서울정애학교 (삼성동)"
서울광진학교,"/ 서울광진학교 (구의동/ 서울광진학교)"
한국육영학교,(장지동/한국육영학교)
한국구화학교,"/ 한국구화학교 (고덕동)"
주몽학교,"/ 주몽학교 (상일동)"
성베드로학교,"/ 성베드로학교 (항동)"
서울애화학교,"/ 서울애화학교 (미아동)"
서울삼성학교,"(상도동/ 서울삼성학교)"
밀알학교,(일원동/밀알학교)
다니엘학교,(내곡동/다니엘학교)
서울정문학교,(신림동)
서울정진학교,"(궁동/ 서울정진학교)"
영등포고등학교부설방송통신고등학교,"/ 대방동 13-2 (대방동/ 영등포고등학교부설방송통신고등학교)"
수도여자고등학교부설방송통신고등학교,"(신대방동, 수도여자고등학교)"
경복고등학교부설방송통신고등학교,(청운동)
경동고등학교부설방송통신고등학교,"(삼선동3가/ 경동고등학교)"
경기여자고등학교부설방송통신고등학교,(개포동/경기여자고등학교)
한양공업고등학교,(신당동)
일신여자상업고등학교,(송파동/일신여자상업고등학교)
유한공업고등학교,(항동)
영등포공업고등학교,(가양동)
수도전기공업고등학교,"/ 수도전기공업고등학교 (개포동)"
서울여자상업고등학교,(봉천동/서울여자상업고등학교)
덕일전자공업고등학교,(오류동)
휘경공업고등학교,"/ 휘경공업고등학교 (휘경동)"
서울공업고등학교,"/ 서울공업고등학교 (대방동)"
경기상업고등학교,(청운동)
경기기계공업고등학교,(하계동)
강서공업고등학교,(방화동/강서공업고등학교)
휘문고등학교,(대치동)
휘경여자고등학교,(휘경동/휘경여자고등학교)
환일고등학교,(만리동2가)
화곡고등학교,"/ 화곡고등학교 (내발산동)"
홍익대학교사범대학부속여자고등학교,"(성산동/ 여자고등학교)"
홍익대학교사범대학부속고등학교,(성북동/홍익대학교부속중고등학교)
혜원여자고등학교,(망우동)
혜성여자고등학교,(하계동)
현대고등학교,"(압구정동/ 현대고등학교)"
한영외국어고등학교,(상일동)
한영고등학교,"(상일동/ 한영고등학교)"
한성여자고등학교,"/ 한성여자고등학교 (삼선동2가)"
한성고등학교,(북아현동)
한서고등학교,(방화동)
한국삼육고등학교,(공릉동)
한광고등학교,(화곡동)
한가람고등학교,(목동)
충암고등학교,(응암동)
청원고등학교,"/ 청원고등학교 (상계동)"
창문여자고등학교,"/ 창문여자고등학교 (미아동)"
진선여자고등학교,(진선여자고등학교/역삼동)
진명여자고등학교,"/ 진명여자고등학교 (목동)"
중앙여자고등학교,(북아현동)
중앙대학교사범대학부속고등학교,"/ 중앙대학교사범대학부속고등학교 (도곡동)"
중앙고등학교,(계동)
중산고등학교,"(일원동/ 중산고등학교)"
중동고등학교,(일원동)
정의여자고등학교,(쌍문동/정의여자고등학교)
정신여자고등학교,"/ 정신여자고등학교 (잠실동)"
재현고등학교,"/ 재현고등학교 (중계동)"
장훈고등학교,"/ 장훈고등학교 (신길동)"
장충고등학교,(신당동)
잠실여자고등학교,"(송파동) 잠실여자고등학교"
인창고등학교,"/ 인창고등학교 (충정로2가)"
이화여자외국어고등학교,(순화동)
이화여자고등학교,"/ 26 (정동)"
은광여자고등학교,(도곡동)
우신고등학교,"/ 우신고등학교 (궁동)"
용화여자고등학교,"/ 용화여자고등학교 (상계동/용화여자고등학교)"
용문고등학교,"(안암동2가/ 용문중고등학교)"
오산고등학교,(보광동)
예일여자고등학교,"/ 예일여자고등학교 (구산동/수위실)"
영훈고등학교,(미아동/학교법인영훈학원)
영파여자고등학교,"/ 영파여자고등학교 (풍납동)"
영일고등학교,"/ 영일고등학교 (등촌동)"
영신여자고등학교,(중계동/영신여자고등학교)
영락고등학교,"/ 영락고등학교 (봉천동)"
영동고등학교,"(청담동/ 영동고등학교)"
양천고등학교,(신정동/양천고등학교)
양정고등학교,(목동/양정고등학교)
신일고등학교,(미아동/신일중고등학교)
신광여자고등학교,"/ 신광여자고등학교 (청파동3가)"
숭의여자고등학교,"/ 숭의여자고등학교 (대방동)"
숭실고등학교,(신사동)
숭문고등학교,(대흥동)
숙명여자고등학교,"/ 숙명여자고등학교 (도곡동)"
송곡여자고등학교,(망우동)
송곡고등학교,(망우동/송곡고등학교)
세화여자고등학교,"/ 세화여자고등학교"
세화고등학교,(반포동)
성심여자고등학교,"/ 성심여자고등학교 (원효로4가)"
성신여자고등학교,(돈암동)
성보고등학교,(신림동/성보고등학교)
성남고등학교,"/ 성남고등학교 (대방동)"
선화예술고등학교,(능동)
선정고등학교,"/ 선정고등학교 (갈현동)"
선일여자고등학교,(갈현동)
선덕고등학교,"/  선덕고등학교 (쌍문동)"
서울외국어고등학교,(창동)
서울예술고등학교,"/ 서울예술고등학교 (평창동)"
서울세종고등학교,"/ 서울세종고등학교 (수서동)"
서울미술고등학교,(봉천동/서울미술고등학교)
서문여자고등학교,(방배동/서문여자고등학교)
서라벌고등학교,"/ (중계1동 313/ 서라벌고등학교)"
상일여자고등학교,"/ 상일여자고등학교 (상일동)"
상문고등학교,(방배동/상문고등학교)
상명대학교사범대학부속여자고등학교,(홍지동/상명대학교)
보성여자고등학교,"/ 보성여자고등학교 (용산동2가)"
보성고등학교,(방이동/보성중고등학교)
백암고등학교,"/ 백암고등학교 (신정동)"
배화여자고등학교,(필운동/배화여자고등학교)
배재고등학교,"(고덕동/배재중 고등학교)"
배문고등학교,(서계동)
배명고등학교,"/ 배명고등학교 (삼전동)"
미림여자고등학교,"/ 미림여자고등학교 (신림동)"
문일고등학교,(시흥동)
명지고등학교,"/ 명지고등학교 (홍은동)"
명덕외국어고등학교,"/ 명덕외국어고등학교 (내발산동/명덕고등학교)"
명덕여자고등학교,(내발산동)
명덕고등학교,(내발산동/명덕고등학교)
마포고등학교,(등촌동/마포고등학교)
동일여자고등학교,"(시흥동/ 동일여자고등학교)"
동성고등학교,(혜화동/동성중고교)
동북고등학교,(둔촌동)
동명여자고등학교,(대조동/동명여자고등학교)
동덕여자고등학교,"/ 동덕여자고등학교 (방배동)"
동국대학교사범대학부속고등학교,(장안동/동국대학교사범대학부속고등학교)
덕원예술고등학교,"/ 덕원예술고등학교 (내발산동)"
덕원여자고등학교,(내발산동/덕원여자고등학교)
덕성여자고등학교,"/ 덕성여자고등학교 (안국동)"
대진여자고등학교,"/ 대진여자고등학교 (중계동)"
대진고등학교,"/ 대진고등학교 (하계동)"
대일외국어고등학교,(정릉동/대일외국어고등학교)
대일고등학교,(등촌동)
대원외국어고등학교,(중곡동)
대원여자고등학교,(중곡동)
대원고등학교,"/ 대원고등학교 (중곡동)"
대신고등학교,(행촌동)
대성고등학교,"/ 대성고등학교 (갈현동)"
대광고등학교,"/ 대광고등학교 (신설동)"
단국대학교사범대학부속고등학교,(대치동)
남강고등학교,(신림동)
광영여자고등학교,"/ 광영여자고등학교 (신월동)"
광영고등학교,(신월동/광영고등학교)
광신고등학교,(신림동/광신중고등학교)
광성고등학교,(신수동)
광문고등학교,"/ 광문고등학교 (고덕동)"
경희여자고등학교,경희여자고등학교
경희고등학교,"(회기동/ 경희고등학교)"
경신고등학교,(혜화동/경신중고등학교)
경성고등학교,"/ 경성고등학교 (연남동)"
경복여자고등학교,"/ 경복여자고등학교 (등촌동)"
경문고등학교,"/ 경문고등학교 (동작동)"
건국대학교사범대학부속고등학교,"/ 건국대학교사범대학부속고등학교 (화양동)"
강서고등학교,"/ 강서고등학교 (목동)"
강동고등학교,(상일동)
혜화여자고등학교,(수유동/혜화여자고등학교)
한성과학고등학교,"/ 한성과학고등학교 (현저동)"
태릉고등학교,"/ 태릉고등학교 (묵동)"
청량고등학교,"(청량리동/ 청량고등학교)"
청담고등학교,"/ 청담고등학교 (압구정동)"
창덕여자고등학교,"/ 창덕여자고등학교 (방이동)"
중화고등학교,"(중화동/ 중화고등학교)"
중경고등학교,(이촌동)
잠실고등학교,"/ 잠실고등학교 (신천동)"
잠신고등학교,"/ 잠신고등학교 (잠실동)"
자양고등학교,(자양동/자양고등학교)
인헌고등학교,(봉천동/인헌고등학교)
용산고등학교,(용산동2가/용산고등학교)
오금고등학교,(오금동)
영신고등학교,"/ 영신고등학교 (신길동/영신고등학교)"
영등포여자고등학교,"/ 영등포여자고등학교  (신길동)184-3"
영등포고등학교,(대방동/영등포고등학교)
여의도여자고등학교,"/ 여의도여자고등학교 (여의도동)"
여의도고등학교,"/ 여의도고등학교 (여의도동)"
언남고등학교,(양재동/언남고등학교)
양재고등학교,(서초동/양재고등학교)
신목고등학교,(신정동/신목고등학교)
신림고등학교,"/ 신림고등학교 (신림동)"
수도여자고등학교,"/ 수도여자고등학교 (신대방동)"
성동고등학교,"/ 성동고등학교 (신당동)"
석관고등학교,"/ 석관고등학교 (석관동)"
서초고등학교,(서초동)
서울체육고등학교,"/ 서울체육고등학교 (방이동)"
서울여자고등학교,"/ 서울여자고등학교 (염리동)"
서울과학고등학교,(명륜1가)
서울고등학교,(서초동/서울고등학교)
상계고등학교,"(상계동/ 상계고등학교)"
삼성고등학교,(신림동)
반포고등학교,(반포동/반포고등학교)
무학여자고등학교,무학여자고등학교
명일여자고등학교,(명일동/명일여자고등학교)
면목고등학교,(면목동/면목고등학교)
둔촌고등학교,(둔촌동/둔촌고등학교)
동작고등학교,(사당동/동작고등학교(복합정보센타))
대영고등학교,"(신길동/ 대영고등학교)"
당곡고등학교,"/ 당곡고등학교 (봉천동)"
금천고등학교,(시흥동/금천고등학교)
금옥여자고등학교,(신정동)
구일고등학교,(구로동)
구로고등학교,"/ 구로고등학교 (구로동)"
광양고등학교,(자양동)
광남고등학교,"/ 광남고등학교 (광장동/ 광남고등학교)"
관악고등학교,(양평동2가)
공항고등학교,"(마곡동/ 공항고등학교)"
고척고등학교,"/ 고척고등학교 (고척동/ 고척고등학교)"
경복고등학교,"/ 경복고등학교 (청운동/경복고등학교)"
경동고등학교,"(삼선동3가/ 경동고등학교)"
경기여자고등학교,"/ 경기여자고등학교 (개포동)"
경기고등학교,"/ 경기고등학교 (삼성동)"
개포고등학교,"(개포동/ 개포고등학교)"
가락고등학교,(송파동/가락고등학교)
국립전통예술중학교,(시흥동)
국립전통예술고등학교,(시흥동)
국립국악중학교,"/ 국립국악중고등학교 (개포동)"
국립국악고등학교,"(개포동/ 국악고등학교)"
한국우진학교,"/ 한국우진학교 (중동)"
서울농학교,(신교동)
서울맹학교,(신교동)
경기기계공업고등학교부설미래기술교육센터,"(하계동/ 경기기계공업고등학교)"
